"variable","lo95","q10.val","hi95","lo.se","hi.se"
"scrape",2.20364389094691,1.64366441666953,1.04025269101975,12.6776433515889,5.55385231905463
"srms",0.822994618594586,0.891022055147545,0.961309574510397,0.0347078757923259,0.0358609792667611
"thump",1.98872687502698,1.60934381185697,1.20631811933158,16.5349204458122,9.44134839913623
"trms",0.76391791830695,0.857736843735484,0.964390598688546,0.0478667986880278,0.0544151810985011
"buzz",2.07398770462986,1.79059717849358,1.54496673378552,25.684718900925,22.0745015229469
"brms",0.623705744200321,0.747220304886994,0.905393408535773,0.0630176330034046,0.0807005630861115
"srates",1.07923408838066,1.6123285542832,2.15802145504897,0.271986972399255,0.278414745288659
"sfreq",1.19463174978202,1.58677212196347,2.10395204929722,0.200071618459923,0.26386730986416
"tfreq",1.03410249177283,1.4544984204489,2.18121454219629,0.21448771871228,0.37077353150377
"bfreq",1.01030864950914,1.44883448212224,2.12587696234126,0.223737669700564,0.345429836846438
